Badge,Feeder,Latitude,Longitude
ME-1Q2000929,Newton,13.07477881,-59.54207713
ME-1Q2001055,Newton,13.07491273,-59.53633467
ME-1Q2001065,Newton,13.07635758,-59.5317692
ME-1Q2001066,Newton,13.07635901,-59.53174605
ME-1Q2001067,Newton,13.0763592,-59.53172653
ME-1Q2001068,Newton,13.07705219,-59.53212094
ME-1Q2001070,Newton,13.07693421,-59.53129787
ME-1Q2001071,Newton,13.07687601,-59.53138384
ME-1Q2001073,Newton,13.07620488,-59.53476486
ME-1Q2001074,Newton,13.07649743,-59.53534597
ME-1Q2001076,Newton,13.07658619,-59.53085813
ME-1Q2001077,Newton,13.07648285,-59.5308649
ME-1Q2001079,Newton,13.07714691,-59.53067556
ME-1Q2001088,Newton,13.07749721,-59.53387305
ME-1Q2001089,Newton,13.07745635,-59.53413844
ME-1Q2001090,Newton,13.07719196,-59.53392651
ME-1P1000114,Newton,13.07373572,-59.53639257
ME-1P1000115,Newton,13.07369649,-59.53629214
ME-1P1000116,Newton,13.07379765,-59.53722397
ME-1P1000117,Newton,13.07364096,-59.53628986
ME-1P1000118,Newton,13.07660621,-59.53546298
ME-1P1000119,Newton,13.07598612,-59.5351572
ME-1P1000121,Newton,13.07663834,-59.53504879
ME-1P1000125,Oistins,13.07491859,-59.55494985
ME-1P1000126,Newton,13.0779872,-59.53837606
ME-1P1000127,Newton,13.07597985,-59.54758238
ME-1P1000128,Newton,13.07771505,-59.53841023
ME-1P1000129,Newton,13.07597443,-59.54766409
ME-1P1000130,Newton,13.07607461,-59.5436061
ME-1P1000131,Newton,13.07350125,-59.53747989
ME-1P1000134,Newton,13.07364495,-59.53654964
ME-1Q2000447,Newton,13.08160455,-59.54200551
ME-1Q2000453,Newton,13.08111922,-59.54113897
ME-1Q2000454,Newton,13.08076237,-59.54309459
ME-1Q2000455,Newton,13.08129844,-59.54129151
ME-1Q2000457,Newton,13.07924801,-59.54398632
ME-1Q2000459,Newton,13.08132636,-59.54524535
ME-1Q2000460,Newton,13.08111405,-59.54579102
ME-1Q2000464,Newton,13.07912148,-59.5429278
ME-1Q2000466,Newton,13.07921215,-59.54306455
ME-1Q2000467,Newton,13.079123,-59.54313728
ME-1Q2000469,Newton,13.0791109,-59.54782427
ME-1Q2000473,Newton,13.08144102,-59.54346475
ME-1Q2000475,Newton,13.08122494,-59.54300262
ME-1Q2000476,Newton,13.07945844,-59.54392611
ME-1Q2000478,Newton,13.07946192,-59.54287052
ME-1Q2000931,Newton,13.07454901,-59.5405113
ME-1Q2000936,Newton,13.07819404,-59.52824298
ME-1Q2000937,Newton,13.07849311,-59.52870281
ME-1Q2000938,Newton,13.07786583,-59.52665267
ME-1Q2000945,Newton,13.07878312,-59.53046847
ME-1Q2000946,Newton,13.07901652,-59.53025723
ME-1Q2000952,Newton,13.0779584,-59.52671945
ME-1Q2000954,Newton,13.07931482,-59.54786282
ME-1Q2000955,Newton,13.07808158,-59.52613481
ME-1Q2001091,Newton,13.07713625,-59.53387717
ME-1Q2001093,Newton,13.07777694,-59.53471803
ME-1Q2001095,Newton,13.08628391,-59.52411195
ME-1Q2001097,Newton,13.07570474,-59.5372774
ME-1Q2001100,Newton,13.07822198,-59.53389123
ME-1Q2001101,Newton,13.07799882,-59.53419221
ME-1Q2001102,Newton,13.07823674,-59.53384896
ME-1Q2001103,Newton,13.07812083,-59.53403545
ME-1Q2001104,Newton,13.07752192,-59.53391232
ME-1Q2001105,Newton,13.07742252,-59.53417465
ME-1Q2001106,Newton,13.07729849,-59.53426849
ME-1Q2001107,Newton,13.07746398,-59.53384833
ME-1Q2001108,Newton,13.07505609,-59.52989338
ME-1Q2001110,Newton,13.07477524,-59.5302949
ME-1P1000135,Newton,13.07374605,-59.53654035
ME-1P1000136,Newton,13.07358029,-59.53629782
ME-1P1000137,Newton,13.07377449,-59.53672952
ME-1P1000138,Newton,13.07825341,-59.53780101
ME-1P1000139,Newton,13.07811756,-59.53780937
ME-1P1000140,Newton,13.07798621,-59.53802885
ME-1P1000141,Newton,13.07763184,-59.53786074
ME-1P1000143,Newton,13.07576293,-59.54470106
ME-1P1000145,Newton,13.07575016,-59.53851719
ME-1P1000146,Newton,13.07611421,-59.53439273
ME-1P1000147,Newton,13.07606019,-59.53441655
ME-1P1000148,Newton,13.07661755,-59.53421196
ME-1P1000149,Newton,13.07652936,-59.53420885
ME-1P1000150,Newton,13.07455638,-59.53708174
ME-1P1000151,Newton,13.07366161,-59.53674037
ME-1Q2000479,Newton,13.07928365,-59.54409368
ME-1Q2000482,Newton,13.08068766,-59.54531461
ME-1Q2000483,Newton,13.08071738,-59.54530663
ME-1Q2000484,Newton,13.08085452,-59.54667822
ME-1Q2000485,Newton,13.08071956,-59.5467173
ME-1Q2000486,Newton,13.08032181,-59.5459334
ME-1Q2000487,Newton,13.08082304,-59.54669471
ME-1Q2000489,Newton,13.07915677,-59.54446935
ME-1Q2000490,Newton,13.07926096,-59.54286845
ME-1Q2000492,Newton,13.07967061,-59.54511731
ME-1Q2000493,Newton,13.07990429,-59.54428655
ME-1Q2000494,Newton,13.07976588,-59.54459836
ME-1Q2000498,Newton,13.07984301,-59.54299008
ME-1Q2000499,Newton,13.08027476,-59.54290082
ME-1Q2000500,Newton,13.07690906,-59.53513901
ME-1Q2000501,Newton,13.07703815,-59.53482189
ME-1Q2000960,Newton,13.07774009,-59.52864774
ME-1Q2000962,Newton,13.07765801,-59.52802052
ME-1Q2000965,Newton,13.07514252,-59.5387922
ME-1Q2000967,Newton,13.07583381,-59.53878995
ME-1Q2000970,Newton,13.07557354,-59.53734628
ME-1Q2000973,Newton,13.07785043,-59.53805887
ME-1Q2000975,Newton,13.07804071,-59.53851976
ME-1Q2000976,Newton,13.07952909,-59.53061062
ME-1Q2000977,Newton,13.07944627,-59.5307286
ME-1Q2000980,Newton,13.07789311,-59.53754311
ME-1Q2000981,Newton,13.07763921,-59.53711815
ME-1Q2000982,Newton,13.07792516,-59.53759025
ME-1Q2000985,Newton,13.07478091,-59.53578282
ME-1Q2000986,Newton,13.07468682,-59.53599277
ME-1Q2001111,Newton,13.07481446,-59.53024408
ME-1Q2001113,Newton,13.0771292,-59.53579761
ME-1Q2001116,Newton,13.07739868,-59.53205417
ME-1Q2001118,Newton,13.07693886,-59.53212271
ME-1Q2001120,Newton,13.07691061,-59.53171353
ME-1Q2001121,Newton,13.07767219,-59.53119795
ME-1Q2001122,Newton,13.07734822,-59.53160683
ME-1Q2001124,Newton,13.07501295,-59.53264887
ME-1Q2001126,Newton,13.07759283,-59.53375163
ME-1Q2001128,Newton,13.07722004,-59.53632483
ME-1Q2001132,Newton,13.07637182,-59.53141204
ME-1Q2001133,Newton,13.07651543,-59.53151469
ME-1Q2001134,Newton,13.07651564,-59.53149396
ME-1Q2001137,Newton,13.07590328,-59.53084091
ME-1Q2001138,Newton,13.07478228,-59.53223641
ME-1P1000152,Newton,13.07458354,-59.53668338
ME-1P1000153,Newton,13.07479095,-59.53675913
ME-1P1000154,Newton,13.0763035,-59.54615478
ME-1P1000155,Newton,13.07702966,-59.54491466
ME-1P1000157,Newton,13.07618381,-59.54555328
ME-1P1000159,Oistins,13.07585939,-59.5563433
ME-1P1000160,Oistins,13.07558793,-59.55590693
ME-1P1000161,Oistins,13.07533872,-59.55580536
ME-1P1000163,Newton,13.07739505,-59.53518451
ME-1P1000165,Newton,13.07691814,-59.53590823
ME-1P1000166,Newton,13.07785027,-59.55245698
ME-1P1000167,Newton,13.07793648,-59.55118332
ME-1P1000169,Newton,13.07787185,-59.55263414
ME-1P1000171,Oistins,13.07575402,-59.55654928
ME-1P1000172,Oistins,13.07591826,-59.55302584
ME-1Q2000504,Newton,13.08017548,-59.5432161
ME-1Q2000505,Newton,13.08044423,-59.54501084
ME-1Q2000508,Newton,13.07817966,-59.52935999
ME-1Q2000509,Newton,13.07437307,-59.54726578
ME-1Q2000510,Newton,13.07455759,-59.54750581
ME-1Q2000512,Newton,13.08165172,-59.54159983
ME-1Q2000515,Newton,13.08132981,-59.54285299
ME-1Q2000520,Newton,13.07991636,-59.54402457
ME-1Q2000521,Newton,13.08025915,-59.54406195
ME-1Q2000524,Newton,13.08135797,-59.54371965
ME-1Q2000532,Newton,13.07847746,-59.53793472
ME-1Q2000533,Newton,13.07819227,-59.53798961
ME-1Q2000538,Newton,13.08141364,-59.54434785
ME-1Q2000991,Newton,13.08051272,-59.52652107
ME-1Q2000993,Newton,13.08008138,-59.5263132
ME-1Q2000995,Newton,13.07779679,-59.53785008
ME-1Q2001000,Newton,13.07635461,-59.53620799
ME-1Q2001002,Newton,13.07630984,-59.53647854
ME-1Q2001003,Newton,13.07453488,-59.53628712
ME-1Q2001004,Newton,13.07871969,-59.53837209
ME-1Q2001005,Newton,13.07831395,-59.53844437
ME-1Q2001006,Newton,13.07825477,-59.53847123
ME-1Q2001008,Newton,13.07937423,-59.53076151
ME-1Q2001009,Newton,13.07940496,-59.53069891
ME-1Q2001010,Newton,13.07387334,-59.54080154
ME-1Q2001139,Newton,13.0759794,-59.53068368
ME-1Q2001141,Newton,13.07527387,-59.5308263
ME-1Q2001144,Newton,13.07459817,-59.53077982
ME-1Q2001145,Newton,13.07460289,-59.53066526
ME-1Q2001149,Newton,13.07576993,-59.5314908
ME-1Q2001150,Newton,13.07599467,-59.53189501
ME-1Q2001151,Newton,13.07599006,-59.53168135
ME-1Q2001152,Newton,13.07469655,-59.53155364
ME-1Q2001153,Newton,13.07481181,-59.53164699
ME-1Q2001155,Newton,13.07551024,-59.53176277
ME-1Q2001169,Newton,13.0780701,-59.53127069
ME-1Q2001170,Newton,13.07798868,-59.53123621
ME-1P1000173,Oistins,13.07576021,-59.5533611
ME-1P1000174,Newton,13.07439059,-59.53692519
ME-1P1000176,Newton,13.07418312,-59.53713858
ME-1P1000177,Newton,13.07383223,-59.5375623
ME-1P1000178,Newton,13.07851358,-59.5382407
ME-1P1000181,Newton,13.07868428,-59.53822401
ME-1Q2000013,Newton,13.07435813,-59.54142358
ME-1Q2000017,Newton,13.0752426,-59.54713709
ME-1Q2000022,Newton,13.07397457,-59.54123528
ME-1Q2000026,Newton,13.07978628,-59.54732915
ME-1Q2000031,Newton,13.08097663,-59.54453092
ME-1Q2000032,Newton,13.08069809,-59.54534766
ME-1Q2000033,Newton,13.08067309,-59.54533763
ME-1Q2000540,Newton,13.07479805,-59.54225248
ME-1Q2000543,Newton,13.07998768,-59.54285416
ME-1Q2000544,Newton,13.07571652,-59.53836517
ME-1Q2000549,Newton,13.08115597,-59.54171474
ME-1Q2000551,Newton,13.0811586,-59.54163064
ME-1Q2000553,Newton,13.07906223,-59.54756949
ME-1Q2000555,Newton,13.07987022,-59.54506839
ME-1Q2000558,Newton,13.08134023,-59.54276531
ME-1Q2000561,Newton,13.08080532,-59.54396232
ME-1Q2000564,Newton,13.07753762,-59.5501897
ME-1Q2000567,Newton,13.07725907,-59.55012767
ME-1Q2000569,Newton,13.07788759,-59.55200452
ME-1Q2000570,Newton,13.08026542,-59.54290267
ME-1Q2000571,Newton,13.07781862,-59.55224335
ME-1Q2000574,Newton,13.07634447,-59.52914737
ME-1Q2000575,Newton,13.07638489,-59.52916973
ME-1Q2001171,Newton,13.07792412,-59.53123704
ME-1Q2001172,Newton,13.07822819,-59.53168065
ME-1Q2001175,Newton,13.07846837,-59.53338337
ME-1Q2001176,Newton,13.07947336,-59.53056371
ME-1Q2001179,Newton,13.07955351,-59.53058087
ME-1Q2001180,Newton,13.07927425,-59.53004097
ME-1Q2001182,Newton,13.07950827,-59.53048898
ME-1Q2001188,Newton,13.07854279,-59.53142239
ME-1Q2001189,Newton,13.07857334,-59.53142613
ME-1Q2001191,Newton,13.07793081,-59.53128684
ME-1Q2001192,Newton,13.07886616,-59.53206296
ME-1Q2001194,Newton,13.07872752,-59.53224564
ME-1Q2001199,Newton,13.07875442,-59.53206241
ME-1Q2001201,Newton,13.07768375,-59.53294097
ME-1Q2000039,Newton,13.07851988,-59.54601798
ME-1Q2000041,Newton,13.07572406,-59.54332751
ME-1Q2000042,Newton,13.07567777,-59.54370816
ME-1Q2000044,Newton,13.07611959,-59.54444432
ME-1Q2000045,Newton,13.07560038,-59.54273755
ME-1Q2000048,Newton,13.07596271,-59.54326181
ME-1Q2000053,Newton,13.07557877,-59.54543772
ME-1Q2000055,Newton,13.07699495,-59.54569926
