OBJECTID,Badge,Feeder,Latitude,Longitude,Outage_Number
9610,ME-1Q2025141,Oistins,13.06039524,-59.5257323,3
9611,ME-1Q2025367,Oistins,13.05500407,-59.53034055,3
9612,ME-1Q2025402,Oistins,13.05639827,-59.53337222,3
9613,ME-1Q2025202,Oistins,13.05826807,-59.53369431,3
9614,ME-1Q2025348,Oistins,13.05537319,-59.53252574,3
9615,ME-1Q2025332,Oistins,13.05534299,-59.53248956,3
9616,ME-1Q2025423,Oistins,13.05448487,-59.52845092,3
9617,ME-1P1007021,Oistins,13.05426416,-59.53156816,3
9618,ME-1Q2025544,Oistins,13.05420134,-59.53122895,3
9619,ME-1Q2025611,Oistins,13.05375237,-59.52736993,3
9620,ME-1Q2025563,Oistins,13.05398539,-59.52942281,3
9621,ME-1Q2025214,Oistins,13.05800117,-59.53229425,3
9622,ME-1Q2025639,Oistins,13.05250665,-59.53143707,3
9623,ME-1Q2025554,Oistins,13.05221066,-59.52731867,3
9624,ME-1Q2025543,Oistins,13.05391651,-59.53133753,3
9625,ME-1Q2025583,Oistins,13.05324963,-59.53080306,3
9626,ME-1Q2025469,Oistins,13.05522226,-59.53072235,3
9627,ME-1Q2025664,Oistins,13.05228453,-59.53258571,3
9628,ME-1Q2025559,Oistins,13.05157304,-59.52754986,3
9629,ME-1Q2025658,Oistins,13.05316498,-59.5319627,3
9630,ME-1Q2025465,Oistins,13.05624644,-59.52856151,3
9631,ME-1Q2025762,Oistins,13.04904368,-59.52868741,3
9632,ME-1P1007159,Oistins,13.05413125,-59.53100538,3
9633,ME-1P1007169,Oistins,13.05302986,-59.52804353,3
9634,ME-1Q2026001,Oistins,13.05823361,-59.5246575,3
9635,ME-1P1007167,Oistins,13.05286185,-59.52822896,3
9636,ME-1Q2024834,Oistins,13.06784015,-59.55205597,3
9637,ME-1Q2025142,Oistins,13.0535117,-59.53186172,3
9638,ME-1Q2025170,Oistins,13.05647597,-59.52715055,3
9639,ME-1Q2025211,Oistins,13.05807742,-59.53329899,3
9640,ME-1Q2025228,Oistins,13.0580313,-59.53305637,3
9641,ME-1Q2025159,Oistins,13.05965381,-59.5257615,3
9642,ME-1Q2025363,Oistins,13.0548611,-59.52912493,3
9643,ME-1Q2025282,Oistins,13.06119586,-59.53808014,3
9644,ME-1Q2025210,Oistins,13.0580241,-59.53317061,3
9645,ME-1Q2025343,Oistins,13.05582794,-59.53305439,3
9646,ME-1Q2025203,Oistins,13.05662576,-59.53436803,3
9647,ME-1Q2025192,Oistins,13.05998646,-59.5377561,3
9648,ME-1Q2025326,Oistins,13.05591489,-59.53332737,3
9649,ME-1P1006944,Oistins,13.0586901,-59.53174252,3
9650,ME-1Q2025588,Oistins,13.05312351,-59.53120858,3
9651,ME-1Q2025656,Oistins,13.05213743,-59.53198414,3
9652,ME-1Q2025477,Oistins,13.05544868,-59.53001655,3
9653,ME-1Q2025581,Oistins,13.05166656,-59.52960546,3
9654,ME-1Q2025341,Oistins,13.05338693,-59.52916786,3
9655,ME-1Q2025466,Oistins,13.0554789,-59.53104239,3
9656,ME-1Q2025580,Oistins,13.05273412,-59.52977564,3
9657,ME-1Q2025635,Oistins,13.05269369,-59.5315833,3
9658,ME-1Q2025641,Oistins,13.0521348,-59.53230628,3
9659,ME-1Q2025953,Oistins,13.05378758,-59.52683863,3
9660,ME-1Q2025764,Oistins,13.05114869,-59.5302759,3
9661,ME-1P1007168,Oistins,13.05254688,-59.52738937,3
9662,ME-1Q2026010,Oistins,13.05879963,-59.52484653,3
9663,ME-1Q2025268,Oistins,13.06152341,-59.53725589,3
9664,ME-1P1007217,Oistins,13.05146322,-59.53077045,3
9665,ME-1P1007161,Oistins,13.0537942,-59.53080199,3
9666,ME-1Q2025151,Oistins,13.05951096,-59.52579701,3
9667,ME-1Q2025139,Oistins,13.06003857,-59.52606941,3
9668,ME-1Q2025347,Oistins,13.05149763,-59.53234923,3
9669,ME-1Q2025264,Oistins,13.06188958,-59.53763066,3
9670,ME-1Q2025144,Oistins,13.05400571,-59.53141673,3
9671,ME-1Q2025381,Oistins,13.05490344,-59.53002887,3
9672,ME-1Q2025185,Oistins,13.05655892,-59.52825012,3
9673,ME-1Q2025329,Oistins,13.05546839,-59.53350508,3
9674,ME-1Q2025157,Oistins,13.06092049,-59.52864959,3
9675,ME-1P1007025,Oistins,13.05472958,-59.52907689,3
9676,ME-1P1007016,Oistins,13.05979526,-59.53051059,3
9677,ME-1P1007014,Oistins,13.05841473,-59.52967839,3
9678,ME-1P1007012,Oistins,13.05862747,-59.52710793,3
9679,ME-1Q2025601,Oistins,13.05315031,-59.5305007,3
9680,ME-1Q2025475,Oistins,13.05546772,-59.5298655,3
9681,ME-1Q2025472,Oistins,13.05504998,-59.52991691,3
9682,ME-1Q2025458,Oistins,13.05606282,-59.52937159,3
9683,ME-1Q2025653,Oistins,13.05232634,-59.53170636,3
9684,ME-1Q2025545,Oistins,13.05347802,-59.53019525,3
9685,ME-1Q2025603,Oistins,13.05392764,-59.53263007,3
9686,ME-1Q2025659,Oistins,13.05313631,-59.53184145,3
9687,ME-1Q2025471,Oistins,13.0552982,-59.52925501,3
9688,ME-1Q2025459,Oistins,13.0558771,-59.52914305,3
9689,ME-1Q2025665,Oistins,13.05220358,-59.53260315,3
9690,ME-1Q2025386,Oistins,13.05973012,-59.53120394,3
9691,ME-1Q2025022,Oistins,13.06012215,-59.53657258,3
9692,ME-1Q2024625,Oistins,13.06038396,-59.53790864,3
9693,ME-1Q2025130,Oistins,13.06178336,-59.53073219,3
9694,ME-1Q2025216,Oistins,13.05941982,-59.53395435,3
9695,ME-1Q2025287,Oistins,13.06190631,-59.53732407,3
9696,ME-1Q2025399,Oistins,13.06213435,-59.53643496,3
9697,ME-1Q2025182,Oistins,13.05652486,-59.52775134,3
9698,ME-1Q2025253,Oistins,13.05772187,-59.53240884,3
9699,ME-1Q2025193,Oistins,13.05965583,-59.53764723,3
9700,ME-1Q2025382,Oistins,13.05439655,-59.52890837,3
9701,ME-1Q2025248,Oistins,13.05793683,-59.53256279,3
9702,ME-1Q2025258,Oistins,13.06116214,-59.53772877,3
9703,ME-1P1007018,Oistins,13.05895692,-59.53131675,3
9704,ME-1P1007020,Oistins,13.05965442,-59.52983515,3
9705,ME-1P1007023,Oistins,13.05479589,-59.52955473,3
9706,ME-1P1007022,Oistins,13.06160372,-59.53133247,3
9707,ME-1Q2025552,Oistins,13.05154785,-59.52743581,3
9708,ME-1Q2025521,Oistins,13.05270645,-59.52787829,3
9709,ME-1Q2025478,Oistins,13.05600123,-59.52858439,3
9710,ME-1Q2025630,Oistins,13.05379265,-59.52788668,3
9711,ME-1Q2025549,Oistins,13.05391586,-59.53104972,3
9712,ME-1Q2025576,Oistins,13.05262783,-59.52947267,3
9713,ME-1Q2025574,Oistins,13.05295953,-59.52951671,3
9714,ME-1Q2025648,Oistins,13.05357462,-59.53149481,3
9715,ME-1Q2025539,Oistins,13.05237736,-59.52770339,3
9716,ME-1Q2026005,Oistins,13.05889995,-59.52514267,3
9717,ME-1Q2025619,Oistins,13.05407933,-59.52773735,3
9718,ME-1Q2026966,Oistins,13.06925037,-59.56420339,3
9719,ME-1Q2026445,Oistins,13.05193641,-59.52908208,3
9720,ME-1Q2025062,Oistins,13.06065149,-59.53782481,3
9721,ME-1Q2024685,Oistins,13.05701085,-59.53290378,3
9722,ME-1Q2025065,Oistins,13.06073597,-59.53826572,3
9723,ME-1Q2024690,Oistins,13.05770177,-59.53389085,3
9724,ME-1Q2024865,Oistins,13.05697704,-59.53291413,3
9725,ME-1Q2025145,Oistins,13.0555417,-59.53194908,3
9726,ME-1Q2025195,Oistins,13.05726363,-59.52961722,3
9727,ME-1Q2025166,Oistins,13.06058904,-59.53726615,3
9728,ME-1Q2025374,Oistins,13.05500809,-59.53039065,3
