OBJECTID,Badge,Feeder,Latitude,Longitude,Outage_Number
1896,ME-1Q2001090,Newton,13.07719196,-59.53392651,2
1897,ME-1P1000114,Newton,13.07373572,-59.53639257,2
1898,ME-1P1000115,Newton,13.07369649,-59.53629214,2
1899,ME-1P1000116,Newton,13.07379765,-59.53722397,2
1900,ME-1P1000117,Newton,13.07364096,-59.53628986,2
1901,ME-1P1000118,Newton,13.07660621,-59.53546298,2
1902,ME-1P1000119,Newton,13.07598612,-59.5351572,2
1903,ME-1P1000121,Newton,13.07663834,-59.53504879,2
1904,ME-1P1000126,Newton,13.0779872,-59.53837606,2
1905,ME-1P1000127,Newton,13.07597985,-59.54758238,2
1906,ME-1P1000128,Newton,13.07771505,-59.53841023,2
1907,ME-1P1000129,Newton,13.07597443,-59.54766409,2
1908,ME-1P1000130,Newton,13.07607461,-59.5436061,2
1909,ME-1P1000131,Newton,13.07350125,-59.53747989,2
1910,ME-1P1000134,Newton,13.07364495,-59.53654964,2
1911,ME-1Q2000447,Newton,13.08160455,-59.54200551,2
1912,ME-1Q2000453,Newton,13.08111922,-59.54113897,2
1913,ME-1Q2000454,Newton,13.08076237,-59.54309459,2
1914,ME-1Q2000455,Newton,13.08129844,-59.54129151,2
1915,ME-1Q2000457,Newton,13.07924801,-59.54398632,2
1916,ME-1Q2000459,Newton,13.08132636,-59.54524535,2
1917,ME-1Q2000460,Newton,13.08111405,-59.54579102,2
1918,ME-1Q2000464,Newton,13.07912148,-59.5429278,2
1919,ME-1Q2000466,Newton,13.07921215,-59.54306455,2
1920,ME-1Q2000467,Newton,13.079123,-59.54313728,2
1921,ME-1Q2000469,Newton,13.0791109,-59.54782427,2
1922,ME-1Q2000473,Newton,13.08144102,-59.54346475,2
1923,ME-1Q2000475,Newton,13.08122494,-59.54300262,2
1924,ME-1Q2000476,Newton,13.07945844,-59.54392611,2
1925,ME-1Q2000478,Newton,13.07946192,-59.54287052,2
1926,ME-1Q2000931,Newton,13.07454901,-59.5405113,2
1927,ME-1Q2000936,Newton,13.07819404,-59.52824298,2
1928,ME-1Q2000937,Newton,13.07849311,-59.52870281,2
1929,ME-1Q2000938,Newton,13.07786583,-59.52665267,2
1930,ME-1Q2000945,Newton,13.07878312,-59.53046847,2
1931,ME-1Q2000946,Newton,13.07901652,-59.53025723,2
1932,ME-1Q2000952,Newton,13.0779584,-59.52671945,2
1933,ME-1Q2000954,Newton,13.07931482,-59.54786282,2
1934,ME-1Q2000955,Newton,13.07808158,-59.52613481,2
1935,ME-1Q2001091,Newton,13.07713625,-59.53387717,2
1936,ME-1Q2001093,Newton,13.07777694,-59.53471803,2
1937,ME-1Q2001095,Newton,13.08628391,-59.52411195,2
1938,ME-1Q2001097,Newton,13.07570474,-59.5372774,2
1939,ME-1Q2001100,Newton,13.07822198,-59.53389123,2
1940,ME-1Q2001101,Newton,13.07799882,-59.53419221,2
1941,ME-1Q2001102,Newton,13.07823674,-59.53384896,2
1942,ME-1Q2001103,Newton,13.07812083,-59.53403545,2
1943,ME-1Q2001104,Newton,13.07752192,-59.53391232,2
1944,ME-1Q2001105,Newton,13.07742252,-59.53417465,2
1945,ME-1Q2001106,Newton,13.07729849,-59.53426849,2
1946,ME-1Q2001107,Newton,13.07746398,-59.53384833,2
1947,ME-1Q2001108,Newton,13.07505609,-59.52989338,2
1948,ME-1Q2001110,Newton,13.07477524,-59.5302949,2
1949,ME-1P1000135,Newton,13.07374605,-59.53654035,2
1950,ME-1P1000136,Newton,13.07358029,-59.53629782,2
1951,ME-1P1000137,Newton,13.07377449,-59.53672952,2
1952,ME-1P1000138,Newton,13.07825341,-59.53780101,2
1953,ME-1P1000139,Newton,13.07811756,-59.53780937,2
1954,ME-1P1000140,Newton,13.07798621,-59.53802885,2
1955,ME-1P1000141,Newton,13.07763184,-59.53786074,2
